Hours;Load;Price;CO_2_eq;solar_pv
1;2.061;2.01;80.5;0
2;2.018;1.38;84.89;0
3;1.943;0.09;101.72;0
4;1.891;0.08;98.44;0
5;1.844;0.05;103.04;0
6;1.782;0.08;100.45;0
7;1.843;0.09;108.67;0
8;1.973;0.53;111.99;0
9;2.076;2.03;112.01;0
10;2.044;3.1;140.92;68.2522
11;2.132;4.43;156.71;146.868
12;2.122;6.06;143.65;51.7179
13;2.222;6.06;163.09;53.7425
14;2.195;5.68;143.19;66.3293
15;2.236;17.71;125.78;0
16;2.33;24.11;38.59;0
17;2.49;36.54;35.8;0
18;2.54;46.03;34.34;0
19;2.553;54.23;35.97;0
20;2.56;53.63;36.23;0
21;2.431;48.05;34.18;0
22;2.338;44.68;35.82;0
23;2.256;45.96;36.25;0
24;2.08;35.0;36.94;0
25;1.885;57.91;38.82;0
26;1.907;51.67;41.26;0
27;2.002;52.86;42.38;0
28;1.967;44.16;43.5;0
29;2.035;50.08;41.62;0
30;2.258;70.73;42.47;0
31;2.549;102.56;36.47;0
32;2.772;138.19;35.75;0
33;2.841;145.98;74.88;0
34;2.873;147.05;88.67;11.83
35;2.853;145.61;118.21;65.1423
36;2.808;143.35;87.78;124.534
37;2.851;144.38;133.25;24.4843
38;2.908;143.76;126.12;55.2217
39;2.904;148.2;63.74;0
40;2.851;155.34;78.61;0
41;2.793;162.89;70.36;0
42;2.827;170.0;37.44;0
43;2.785;174.74;36.49;0
44;2.545;164.46;35.72;0
45;2.406;153.0;37.59;0
46;2.215;141.67;35.94;0
47;2.159;131.67;33.45;0
48;2.24;118.06;33.21;0
49;2.31;78.81;34.9;0
50;2.205;73.93;34.93;0
51;2.122;73.94;35.99;0
52;2.027;71.44;34.19;0
53;2.137;72.33;35.63;0
54;2.317;77.14;34.02;0
55;2.565;102.48;33.66;0
56;2.832;154.96;34.2;0
57;2.93;163.92;35.29;0
58;2.964;167.07;36.69;4.73066
59;3.024;168.57;41.17;15.2849
60;3.005;169.49;39.25;51.9013
61;2.91;164.5;42.77;1.31264
62;2.948;160.91;37.12;0
63;2.973;163.06;37.19;0
64;3.097;167.73;37.16;0
65;3.2;166.61;36.94;0
66;3.244;170.72;37.53;0
67;3.174;168.93;41.59;0
68;3.087;160.99;47.61;0
69;2.91;149.62;93.59;0
70;2.785;131.05;85.46;0
71;2.722;114.27;96.76;0
72;2.629;93.66;108.65;0
73;2.521;82.88;125.96;0
74;2.44;78.84;139.81;0
75;2.417;69.93;139.87;0
76;2.452;69.26;123.04;0
77;2.494;71.75;115.33;0
78;2.602;81.73;107.7;0
79;2.752;80.11;98.28;0
80;2.926;83.33;77.39;0
81;2.959;86.27;51.19;0
82;3.065;85.37;66.03;138.718
83;3.126;75.95;65.01;19.89
84;3.141;81.71;56.01;127.733
85;3.22;80.89;48.27;47.662
86;3.266;79.72;47.63;96.1788
87;3.283;80.22;52.87;0
88;3.317;79.74;53.68;0
89;3.336;80.82;52.7;0
90;3.244;86.16;46.83;0
91;3.092;72.28;74.69;0
92;3.041;66.61;107.23;0
93;2.887;62.13;118.5;0
94;2.641;57.26;120.8;0
95;2.531;37.94;124.98;0
96;2.47;30.82;130.7;0
97;2.427;30.03;117.55;0
98;2.341;28.15;115.75;0
99;2.317;27.68;115.1;0
100;2.336;27.76;119.15;0
101;2.344;28.63;123.32;0
102;2.349;39.8;102.23;0
103;2.574;62.7;47.39;0
104;2.897;85.53;35.67;0
105;3.066;93.54;35.83;0
106;3.21;107.92;37.9;104.955
107;3.296;128.75;40.01;42.329
108;3.316;139.64;42.34;77.2859
109;3.358;139.99;40.11;45.6906
110;3.331;142.58;36.21;30.207
111;3.275;149.4;34.87;0
112;3.379;155.2;36.42;0
113;3.42;168.59;37.65;0
114;3.386;190.03;38.1;0
115;3.268;190.0;37.94;0
116;3.145;173.71;36.9;0
117;3.08;160.05;37.24;0
118;2.982;148.62;36.15;0
119;2.857;141.17;37.96;0
120;2.738;127.0;37.65;0
121;2.617;107.21;37.92;0
122;2.582;101.1;39.64;0
123;2.482;96.73;42.61;0
124;2.443;82.34;46.4;0
125;2.399;81.93;43.16;0
126;2.385;84.03;34.94;0
127;2.501;97.25;32.94;0
128;2.629;103.95;32.54;0
129;2.743;108.51;34.01;0
130;2.811;109.92;31.97;4.35727
131;2.959;110.14;31.24;13.5372
132;3.103;110.65;33.43;27.8089
133;3.154;109.91;35.02;37.8222
134;3.139;101.09;34.28;36.8865
135;3.208;113.06;32.57;0
136;3.317;122.81;31.98;0
137;3.38;135.62;32.85;0
138;3.335;150.72;33.04;0
139;3.204;142.11;33.33;0
140;3.067;119.92;33.75;0
141;2.873;107.22;31.95;0
142;2.715;101.02;31.93;0
143;2.667;74.25;32.21;0
144;2.537;71.74;32.11;0
145;2.519;71.67;37.27;0
146;2.48;69.93;39.03;0
147;2.44;69.94;39.26;0
148;2.384;70.95;34.28;0
149;2.372;73.83;33.34;0
150;2.393;75.26;33.26;0
151;2.392;77.82;34.95;0
152;2.577;75.97;39.95;0
153;2.684;79.98;36.26;0
154;2.768;109.31;35.63;0
155;2.802;97.6;36.74;10.1822
156;2.792;86.2;36.72;22.9256
157;2.77;85.79;37.7;13.3555
158;2.682;91.79;36.48;3.22964
159;2.695;80.51;36.83;0
160;2.83;78.94;36.83;0
161;2.895;79.93;35.87;0
162;2.888;78.68;33.58;0
163;2.81;78.38;36.08;0
164;2.673;74.39;36.92;0
165;2.561;66.98;52.31;0
166;2.485;59.99;67.11;0
167;2.46;48.8;68.05;0
168;2.391;35.9;65.6;0
169;2.261;24.44;78.22;0
170;2.157;9.3;69.89;0
171;2.092;9.1;72.89;0
172;2.083;4.16;64.55;0
173;2.021;5.58;45.41;0
174;2.068;9.92;38.19;0
175;2.116;9.02;36.99;0
176;2.217;16.47;35.7;0
177;2.418;27.08;36.01;0
178;2.589;29.08;35.35;27.0647
179;2.714;35.22;38.55;12.6325
180;2.8;47.0;36.33;12.0259
181;2.836;47.0;35.64;9.00783
182;2.862;48.96;37.51;0.423595
183;2.841;54.91;36.86;0
184;2.931;63.49;32.94;0
185;3.042;66.11;33.38;0
186;3.114;69.19;33.44;0
187;3.017;69.91;35.8;0
188;2.906;65.62;38.92;0
189;2.818;60.98;39.29;0
190;2.735;57.41;41.29;0
191;2.667;50.02;40.47;0
192;2.571;46.29;36.56;0
193;2.474;69.04;40.92;0
194;2.382;64.38;41.88;0
195;2.339;60.28;69.72;0
196;2.357;39.41;92.41;0
197;2.357;47.34;37.29;0
198;2.472;68.99;33.24;0
199;2.817;104.56;32.49;0
200;3.149;156.16;32.73;0
201;3.167;175.68;33.6;0
202;3.148;172.89;33.02;31.5613
203;3.224;155.25;33.08;50.413
204;3.216;156.71;33.69;24.4027
205;3.21;137.19;33.52;22.9489
206;3.327;134.37;33.61;0.988057
207;3.329;140.12;33.58;0
208;3.291;147.4;33.1;0
209;3.304;158.08;33.28;0
210;3.339;171.85;33.23;0
211;3.202;172.51;33.44;0
212;3.116;157.7;33.95;0
213;2.994;145.07;33.41;0
214;2.857;134.62;32.9;0
215;2.714;83.84;33.02;0
216;2.601;80.59;39.26;0
217;2.492;76.05;43.67;0
218;2.422;79.95;44.16;0
219;2.42;78.82;43.29;0
220;2.367;80.06;42.02;0
221;2.365;83.16;33.96;0
222;2.482;91.02;32.47;0
223;2.729;134.81;33.58;0
224;3.077;151.02;35.01;0
225;3.123;161.36;34.9;0
226;3.085;156.57;37.01;36.785
227;3.133;151.02;35.99;42.7921
228;3.164;142.94;33.94;6.82328
229;3.104;140.07;34.36;52.6199
230;3.105;139.97;36.27;111.923
231;3.05;141.92;34.38;0
232;3.05;142.42;33.11;0
233;3.119;139.31;32.9;0
234;3.192;142.83;32.51;0
235;3.113;137.08;32.4;0
236;3.001;121.46;34.41;0
237;2.875;105.64;33.97;0
238;2.66;86.53;36.39;0
239;2.515;79.35;109.09;0
240;2.442;55.77;115.91;0
241;2.366;42.03;98.08;0
242;2.265;27.73;144.95;0
243;2.261;25.17;107.42;0
244;2.261;22.57;92.89;0
245;2.263;25.49;87.37;0
246;2.358;26.6;39.96;0
247;2.7;48.54;30.05;0
248;3.061;71.49;29.35;0
249;3.175;72.71;29.49;0
250;3.16;69.96;29.93;32.6414
251;3.193;68.89;30.3;159.847
252;3.241;69.29;31.14;26.194
253;3.199;68.86;33.26;24.1376
254;3.183;66.8;32.24;41.0901
255;3.205;69.52;30.69;0
256;3.208;75.91;30.65;0
257;3.186;116.34;31.01;0
258;3.219;128.28;31.38;0
259;3.141;106.48;31.39;0
260;3.022;67.99;31.45;0
261;2.772;65.16;30.98;0
262;2.585;60.01;30.3;0
263;2.555;49.91;29.3;0
264;2.398;43.32;29.72;0
265;2.289;19.88;30.51;0
266;2.282;5.55;39.01;0
267;2.317;4.69;71.07;0
268;2.268;0.1;76.64;0
269;2.251;2.73;34.96;0
270;2.303;24.94;30.26;0
271;2.613;36.01;29.73;0
272;2.959;59.98;33.94;0
273;3.036;65.18;33.99;0
274;2.978;65.03;30.9;15.6423
275;3.018;66.3;31.06;11.2311
276;3.078;66.72;31.68;11.8181
277;3.111;66.6;31.67;24.2337
278;3.128;70.85;31.7;6.3294
279;3.123;73.76;37.08;0
280;3.126;92.89;37.64;0
281;3.088;96.7;37.38;0
282;3.152;109.94;34.57;0
283;3.131;116.62;35.55;0
284;2.995;98.37;35.51;0
285;2.91;74.08;34.22;0
