Hours;Load;Price;CO_2_eq;solar_pv
181;2.7717;160.0;341.96;133.804
182;2.6918;152.4;333.31;75.5455
183;2.6617;165.0;348.97;28.2561
184;2.6449;177.38;348.92;18.5479
185;2.6938;176.99;341.52;0
186;2.9047;178.19;347.33;0
187;3.0189;181.87;348.86;0
188;3.0871;185.48;348.22;0
189;2.9925;180.56;343.13;0
190;2.8269;170.5;352.78;0
191;2.5919;149.81;370.1;0
192;2.3497;146.0;359.34;0
193;2.1309;164.67;328.83;0
194;2.002;150.0;323.85;0
195;1.9498;111.0;321.14;0
196;1.9353;85.0;314.41;0
197;1.9931;73.71;318.43;0
198;2.2393;111.0;335.77;0
199;2.821;140.55;340.31;0
200;3.4379;185.78;336.69;0
201;3.8623;195.0;330.53;224.113
202;4.0508;193.39;327.06;462.905
203;4.0451;187.46;327.98;464.283
204;4.0038;181.14;323.55;395.72
205;3.894;173.16;328.89;325.779
206;3.858;173.77;340.95;320.054
207;3.8899;178.79;340.42;317.041
208;3.9389;183.0;348.22;10.2481
209;3.9782;184.79;347.06;0
210;4.0794;185.73;345.57;0
211;4.0089;182.18;344.37;0
212;3.9502;181.13;348.48;0
213;3.7697;174.99;343.87;0
214;3.4591;150.0;346.37;0
215;3.0969;134.3;340.26;0
216;2.7978;108.31;321.18;0
217;2.5325;105.98;326.17;0
218;2.3917;97.1;335.45;0
219;2.3198;95.98;360.07;0
220;2.3109;90.19;367.07;0
221;2.3458;95.6;366.28;0
222;2.5155;108.6;361.1;0
223;3.0699;177.78;359.37;0
224;3.7051;186.35;340.86;0
225;4.0964;230.0;317.41;245.701
226;4.2015;220.0;305.8;159.08
227;4.1255;196.11;294.35;315.056
228;4.0442;187.48;285.39;336.275
229;3.7987;180.01;286.94;319.434
230;3.749;178.76;300.08;222.318
231;3.8068;185.37;326.35;379.879
232;3.8714;187.48;344.88;256.806
233;3.949;196.11;356.83;0
234;4.1337;206.54;355.59;0
235;4.1071;196.11;353.75;0
236;4.0763;191.0;358.36;0
237;3.8659;185.22;350.51;0
238;3.5606;182.08;345.24;0
239;3.1867;175.08;347.25;0
240;2.8756;143.0;340.21;0
241;2.6137;128.14;346.52;0
242;2.4671;100.0;350.75;0
243;2.401;100.0;356.03;0
244;2.3735;100.0;367.1;0
245;2.4158;105.0;375.82;0
246;2.5804;131.0;370.75;0
247;3.1191;190.0;379.07;0
248;3.7468;208.56;371.54;0
249;4.164;226.25;364.21;223.52
250;4.2573;214.0;349.92;470.995
251;4.138;208.53;333.07;495.854
252;4.0449;193.23;340.7;410.15
253;3.8139;180.77;340.14;342.598
254;3.8194;180.74;358.26;339.041
255;3.9103;190.5;389.12;322.762
256;3.9908;206.5;411.63;279.096
257;4.0677;226.11;407.95;0
258;4.2106;254.17;404.39;0
259;4.1504;217.78;408.79;0
260;4.0754;214.93;414.94;0
261;3.8505;206.5;415.9;0
262;3.5565;205.0;420.56;0
263;3.1984;194.5;410.93;0
264;2.8848;186.54;422.25;0
265;2.6437;160.72;419.35;0
266;2.5;150.08;431.12;0
267;2.4079;131.0;430.62;0
268;2.398;129.2;423.95;0
269;2.4217;133.5;420.37;0
270;2.5995;151.5;421.88;0
271;3.1503;180.1;410.96;0
272;3.7865;192.0;387.61;0
273;4.186;223.51;374.18;221.655
274;4.332;207.96;365.71;470.348
275;4.2799;189.99;361.43;478.584
276;4.189;181.1;346.63;413.11
277;3.9841;174.62;364.33;346.308
278;3.9089;175.16;378.56;342.406
279;3.977;179.5;395.41;354.875
280;4.0309;187.7;399.84;237.957
281;4.0961;198.08;393.19;0
282;4.2304;230.89;395.67;0
283;4.2086;200.15;404.58;0
284;4.1582;195.8;409.3;0
285;3.9321;185.5;408.16;0
286;3.6149;181.38;413.56;0
287;3.2487;177.5;412.58;0
288;2.9105;172.5;416.62;0
289;2.6352;172.34;423.04;0
290;2.4695;169.56;430.85;0
291;2.4133;169.42;420.84;0
292;2.3985;156.74;428.79;0
293;2.4406;163.5;433.79;0
294;2.6205;172.99;427.84;0
295;3.182;185.01;423.27;0
296;3.8231;229.16;407.36;0
297;4.2317;295.0;394.35;161.633
298;4.3727;254.56;399.49;213.102
299;4.2597;206.24;398.34;431.483
300;4.2232;199.24;401.9;173.522
301;3.9826;185.0;395.7;307.338
302;3.9173;185.0;399.71;328.978
303;4.0014;188.23;404.94;344.12
304;4.0415;195.82;405.12;264.654
305;4.0852;210.0;400.27;0
306;4.2071;228.65;404.55;0
307;4.1928;207.43;408.9;0
308;4.1311;200.0;414.8;0
309;3.8666;188.23;406.99;0
310;3.5445;180.0;405.02;0
311;3.2094;175.0;398.44;0
312;2.9167;171.77;378.07;0
313;2.6573;157.8;385.48;0
314;2.4752;147.8;392.28;0
315;2.3835;141.0;401.2;0
316;2.3417;140.48;407.65;0
317;2.3385;145.16;401.0;0
318;2.3922;150.0;402.26;0
319;2.6343;167.91;394.31;0
320;2.9251;178.78;370.27;0
321;3.1876;180.2;354.04;50.2705
322;3.3071;179.85;334.4;52.4668
323;3.2216;167.91;313.84;355.021
324;3.0921;156.0;317.03;403.994
325;2.9652;125.91;318.43;340.542
326;2.8903;120.0;330.72;330.817
327;2.8855;135.85;354.27;355.851
328;2.8846;165.0;378.2;264.631
329;3.0021;175.17;367.02;0
330;3.3227;182.71;358.44;0
331;3.4696;180.2;362.9;0
332;3.4959;185.0;372.37;0
333;3.2875;180.1;391.89;0
334;3.0278;178.69;403.25;0
335;2.8025;170.48;418.08;0
336;2.5718;167.91;406.71;0
337;2.3865;155.6;419.19;0
338;2.2145;146.3;421.63;0
339;2.1126;137.06;420.18;0
340;2.0585;130.0;413.39;0
341;2.0539;130.6;412.46;0
342;2.0969;130.0;410.34;0
343;2.2269;146.76;386.04;0
344;2.3451;148.4;365.87;0
345;2.5046;148.4;343.31;225.818
346;2.7292;149.0;341.56;479.322
347;2.8073;148.4;343.5;477.313
348;2.8862;141.33;337.15;416.652
349;2.923;144.0;333.67;346.944
350;2.7972;125.9;338.53;344.125
351;2.7366;129.9;353.16;360.476
352;2.7441;149.8;353.93;273.497
353;2.802;163.11;358.24;0
354;3.0412;167.91;354.09;0
355;3.1854;169.36;349.42;0
356;3.2556;169.51;355.19;0
357;3.1521;167.91;354.78;0
358;2.9662;164.12;374.95;0
359;2.7441;148.4;389.04;0
360;2.4941;115.0;381.37;0
361;2.2605;60.01;388.94;0
362;2.1351;60.01;402.76;0
363;2.0932;62.72;407.22;0
364;2.0799;56.1;405.84;0
365;2.1623;63.3;400.5;0
366;2.4171;110.0;388.2;0
367;3.046;170.36;391.97;0
368;3.6926;185.72;379.17;0
369;4.1443;189.88;370.39;211.726
370;4.3006;215.0;364.15;449.752
371;4.2792;203.47;359.28;225.226
372;4.2349;215.0;344.41;349.712
373;4.0964;189.88;347.03;150.289
374;4.0706;189.88;354.15;283.331
375;4.2127;192.72;369.09;49.2289
376;4.2613;198.62;369.75;225.63
377;4.2755;204.99;376.42;0
378;4.3191;206.3;378.41;0
379;4.2295;196.87;383.05;0
380;4.1578;189.88;391.3;0
381;3.9419;186.92;390.64;0
382;3.6359;185.72;383.89;0
383;3.2415;171.13;375.76;0
384;2.9293;168.7;361.24;0
385;2.6793;139.96;357.82;0
386;2.5323;150.81;361.98;0
387;2.4638;156.98;368.84;0
388;2.4278;141.5;370.27;0
389;2.4577;141.0;380.2;0
390;2.6449;150.4;392.33;0
391;3.2078;173.06;405.16;0
392;3.8521;195.01;389.47;0
393;4.2976;255.02;377.74;263.286
394;4.4678;231.4;361.09;140.633
395;4.5067;219.55;358.31;207.257
396;4.4868;204.04;362.29;260.674
397;4.2568;187.1;363.34;289.239
398;4.1669;177.0;365.46;79.3373
399;4.2423;179.7;374.79;268.125
400;4.2962;178.75;380.17;257.57
401;4.3102;187.06;388.07;0
402;4.3804;193.86;398.59;0
403;4.3106;210.51;407.1;0
404;4.2215;194.58;414.85;0
405;3.9748;177.13;392.61;0
406;3.6766;168.2;372.94;0
407;3.2891;159.62;366.04;0
408;2.9907;146.7;365.82;0
409;2.7216;141.74;368.47;0
410;2.5766;137.7;380.98;0
411;2.4945;132.75;380.06;0
412;2.48;127.77;379.51;0
413;2.5141;129.9;386.89;0
414;2.6971;135.7;401.58;0
415;3.2456;159.21;414.0;0
416;3.8386;175.48;388.86;0
417;4.2704;197.2;367.03;55.2916
418;4.4103;195.12;364.69;330.466
419;4.3555;183.86;365.1;27.6579
420;4.3418;177.12;376.19;64.5481
421;4.0908;161.5;374.43;291.898
422;4.0653;158.6;383.92;201.987
423;4.1923;163.0;401.7;146.95
424;4.2686;164.99;398.87;67.7952
425;4.3106;178.65;404.37;0
426;4.4014;183.86;417.08;0
427;4.3412;186.0;426.66;0
428;4.2724;181.9;421.84;0
429;4.0036;159.21;415.2;0
430;3.6951;151.9;404.21;0
431;3.3299;151.9;396.26;0
432;2.9984;147.8;391.06;0
433;2.7368;157.4;400.33;0
434;2.5765;144.26;406.29;0
435;2.4996;132.66;412.03;0
436;2.4824;132.66;412.3;0
437;2.5213;144.26;425.19;0
438;2.6898;148.57;448.52;0
439;3.2276;172.5;435.5;0
440;3.8598;190.0;413.67;0
441;4.2881;205.38;400.16;99.6873
442;4.4541;220.79;382.19;119.471
443;4.4831;206.0;387.18;133.413
444;4.3941;216.93;401.43;286.877
445;4.1921;181.9;410.37;246.527
446;4.1472;176.52;414.29;320.938
447;4.2428;181.21;420.07;194.73
448;4.3037;182.19;432.17;6.75903
449;4.2872;199.58;429.99;0
450;4.3569;213.26;441.01;0
451;4.3293;229.47;444.69;0
452;4.2598;221.87;454.33;0
453;4.0069;205.0;456.98;0
454;3.685;177.4;461.27;0
455;3.3242;179.0;452.69;0
456;3.0033;171.37;426.68;0
457;2.7331;162.72;425.3;0
458;2.5917;158.47;415.37;0
459;2.523;156.25;419.26;0
460;2.496;153.09;431.09;0
461;2.5195;154.09;442.55;0
462;2.6982;158.64;446.04;0
463;3.2488;182.26;441.39;0
464;3.8789;208.07;418.43;0
465;4.3015;235.06;398.55;263.087
466;4.4298;229.99;392.46;93.3694
467;4.3545;210.64;398.82;188.644
468;4.2683;203.46;411.78;114.667
469;4.0661;191.21;416.45;72.3657
470;4.0004;184.69;413.35;80.052
471;4.1241;190.0;408.12;12.7517
472;4.1938;200.07;406.04;17.5054
473;4.2323;204.83;394.52;0
474;4.3501;213.8;393.65;0
475;4.3259;212.3;399.47;0
476;4.2383;207.8;405.77;0
477;3.9791;197.95;396.57;0
478;3.6716;181.01;401.83;0
479;3.306;178.84;405.76;0
480;3.0103;174.99;389.27;0
481;2.7214;166.21;370.69;0
482;2.5558;165.08;364.07;0
483;2.4587;158.47;354.47;0
484;2.4214;150.0;346.92;0
485;2.4193;145.01;345.4;0
486;2.4922;139.35;353.73;0
487;2.7347;166.21;367.2;0
488;3.0607;173.27;355.16;0
489;3.3247;173.27;341.39;58.9046
490;3.5478;176.07;338.5;101.073
491;3.5149;176.07;340.56;93.5322
492;3.4349;172.13;343.76;129.235
493;3.3087;166.21;362.22;217.681
494;3.1758;165.21;377.13;153.046
495;3.1125;166.21;391.76;84.8135
496;3.1159;167.21;404.67;20.46
497;3.1854;172.22;392.92;0
498;3.4764;185.72;381.37;0
499;3.6434;190.0;387.68;0
500;3.6718;190.0;403.44;0
501;3.461;176.07;418.47;0
502;3.1713;172.13;424.6;0
503;2.9213;170.0;444.01;0
504;2.6773;165.04;447.17;0
505;2.4538;168.8;468.24;0
506;2.2776;162.85;482.13;0
507;2.1905;162.76;488.58;0
508;2.132;151.54;494.15;0
509;2.1114;151.22;492.67;0
510;2.1603;150.12;474.37;0
511;2.2836;162.8;461.23;0
512;2.4316;183.32;430.06;0
513;2.6349;179.8;416.45;247.458
514;2.8936;184.58;397.8;113.303
515;3.0355;184.89;390.31;123.627
516;3.0676;184.89;388.23;109.146
517;3.0575;186.2;382.01;57.2815
518;2.9469;184.48;391.22;110.903
519;2.8809;179.02;413.2;62.442
520;2.8527;190.0;433.62;20.754
521;2.8812;193.66;409.95;0
522;3.1699;215.72;396.33;0
523;3.3536;236.67;397.1;0
524;3.41;240.0;411.93;0
525;3.2918;217.51;430.13;0
526;3.0866;204.01;431.83;0
527;2.8307;190.88;444.71;0
528;2.5717;184.0;439.84;0
529;2.3424;164.8;447.8;0
530;2.204;164.8;456.08;0
531;2.142;166.2;456.66;0
532;2.1222;154.5;463.89;0
533;2.188;151.9;463.03;0
534;2.449;165.9;462.39;0
535;3.0946;189.9;472.22;0
536;3.7846;225.98;449.05;0
537;4.2945;257.87;436.61;279.398
538;4.5262;270.0;444.91;478.853
539;4.5069;249.6;446.44;102.159
540;4.4861;230.01;455.2;314.145
541;4.3431;220.77;449.63;361.777
542;4.3434;218.99;454.65;234.706
543;4.4159;219.53;466.9;100.17
544;4.3985;218.99;473.47;18.1908
545;4.4111;224.58;478.38;0
546;4.4411;248.9;478.98;0
547;4.3987;248.07;477.73;0
548;4.3119;223.19;484.49;0
549;4.0799;205.0;488.82;0
550;3.7531;192.51;491.72;0
551;3.3601;190.33;495.96;0
