Hours;Load;Price;CO_2_eq;solar_pv
1;1.417;2.01;19.42;0
2;1.288;1.38;20.81;0
3;1.485;0.09;20.81;0
4;1.624;0.08;20.15;0
5;1.76;0.05;18.74;0
6;1.514;0.08;18.85;0
7;1.42;0.09;18.37;0
8;1.543;0.53;17.97;0
9;1.592;2.03;17.7;0
10;1.603;3.1;18.03;68.2522
11;1.529;4.43;18.4;146.868
12;1.544;6.06;18.42;51.7179
13;1.69;6.06;17.48;53.7425
14;1.567;5.68;18.34;66.3293
15;1.802;17.71;18.38;0
16;1.881;24.11;17.44;0
17;1.93;36.54;15.26;0
18;2.153;46.03;15.32;0
19;2.185;54.23;15.04;0
20;1.911;53.63;16.37;0
21;1.845;48.05;14.89;0
22;1.806;44.68;15.45;0
23;1.985;45.96;16.93;0
24;1.87;35.0;17.15;0
25;1.95;57.91;18.68;0
26;2.202;51.67;17.73;0
27;2.078;52.86;17.32;0
28;2.117;44.16;18.22;0
29;2.315;50.08;16.42;0
30;2.08;70.73;15.58;0
31;1.89;102.56;15.82;0
32;1.891;112.43;16.03;0
33;1.994;111.29;15.76;0
34;2.241;114.94;15.84;11.83
35;2.291;114.95;15.99;65.1423
36;2.462;117.56;16.14;124.534
37;2.776;131.27;16.09;24.4843
38;2.722;143.76;16.21;55.2217
39;2.761;148.2;16.32;0
40;2.743;155.34;16.49;0
41;2.722;162.89;16.3;0
42;2.775;170.0;16.35;0
43;2.823;174.74;15.93;0
44;2.552;164.46;15.76;0
45;2.503;153.0;15.73;0
46;2.594;141.67;16.06;0
47;2.383;131.67;16.53;0
48;2.137;118.06;17.93;0
49;2.11;78.81;19.08;0
50;1.868;73.93;19.36;0
51;1.764;73.94;19.37;0
52;1.806;71.44;19.03;0
53;2.061;72.33;18.67;0
54;2.016;77.14;17.72;0
55;2.11;102.48;17.33;0
56;1.96;102.09;17.07;0
57;2.147;102.37;17.01;0
58;2.462;99.65;16.98;4.73066
59;2.36;94.92;17.04;15.2849
60;2.44;107.95;17.02;51.9013
61;2.414;108.42;17.2;1.31264
62;2.498;109.05;17.57;0
63;2.643;110.69;17.67;0
64;2.523;118.83;17.61;0
65;2.574;116.9;17.86;0
66;2.524;115.49;17.58;0
67;2.53;120.0;17.64;0
68;2.48;120.92;17.63;0
69;2.339;119.97;17.96;0
70;2.338;119.72;18.71;0
71;2.314;114.27;19.59;0
72;2.261;93.66;21.01;0
73;2.228;82.88;22.37;0
74;2.168;78.84;23.24;0
75;2.189;69.93;23.34;0
76;2.165;69.26;23.21;0
77;2.122;71.75;21.9;0
78;2.214;81.73;20.37;0
79;2.516;80.11;19.6;0
80;2.742;83.33;19.33;0
81;2.78;86.27;19.18;0
82;2.803;85.37;19.37;138.718
83;2.899;75.95;19.55;19.89
84;2.95;81.71;19.69;127.733
85;2.966;80.89;20.06;47.662
86;3.014;79.72;19.69;96.1788
87;3.061;80.22;19.23;0
88;3.127;79.74;18.83;0
89;2.947;80.82;18.83;0
90;3.021;86.16;19.26;0
91;3.029;72.28;19.84;0
92;2.976;66.61;21.69;0
93;2.919;62.13;22.19;0
94;2.847;57.26;23.26;0
95;2.639;37.94;23.85;0
96;2.474;30.82;24.99;0
97;2.354;30.03;27.05;0
98;2.226;28.15;27.0;0
99;2.249;27.68;26.69;0
100;2.42;27.76;26.52;0
101;2.33;28.63;25.88;0
102;2.331;39.8;23.43;0
103;2.508;62.7;20.28;0
104;2.673;85.53;19.92;0
105;2.668;93.54;19.83;0
106;2.79;99.78;19.52;104.955
107;2.592;105.18;19.7;42.329
108;2.515;107.71;19.53;77.2859
109;2.578;119.96;19.42;45.6906
110;2.73;141.76;19.35;30.207
111;2.684;136.53;19.55;0
112;2.663;155.2;19.61;0
113;2.703;168.59;19.67;0
114;2.711;190.03;19.78;0
115;2.659;190.0;19.75;0
116;2.504;173.71;20.05;0
117;2.374;160.05;20.05;0
118;2.331;148.62;19.87;0
119;2.34;141.17;19.55;0
120;2.275;127.0;19.4;0
121;2.344;95.59;19.52;0
122;2.211;101.1;20.16;0
123;2.084;96.73;20.39;0
124;2.151;82.34;20.41;0
125;2.184;81.93;19.91;0
126;2.153;84.03;19.28;0
127;2.144;97.25;18.36;0
128;2.215;103.95;18.16;0
129;2.263;102.96;18.39;0
130;2.197;92.28;18.3;4.35727
131;2.191;90.15;18.8;13.5372
132;2.22;91.13;19.0;27.8089
133;2.421;88.85;18.52;37.8222
134;2.393;85.39;18.49;36.8865
135;2.362;82.91;18.74;0
136;2.412;80.15;18.74;0
137;2.245;77.8;18.44;0
138;2.06;76.01;18.15;0
139;2.293;75.54;18.09;0
140;2.192;74.43;17.69;0
141;2.097;74.58;17.76;0
142;1.93;74.21;17.91;0
143;1.898;73.64;18.14;0
144;1.878;71.74;18.74;0
145;1.897;71.67;18.68;0
146;1.774;69.93;18.94;0
147;1.707;69.94;18.76;0
148;1.718;70.95;18.75;0
149;1.713;73.83;18.96;0
150;1.721;75.26;18.48;0
151;1.762;77.82;18.49;0
152;1.891;75.97;18.25;0
153;2.023;78.21;17.32;0
154;2.136;76.43;17.33;0
155;2.144;78.08;16.83;10.1822
156;2.302;79.03;16.58;22.9256
157;2.308;80.05;16.58;13.3555
158;2.429;80.63;16.9;3.22964
159;2.384;80.51;17.28;0
160;2.384;78.94;17.79;0
161;2.545;79.93;18.1;0
162;2.705;78.68;18.5;0
163;2.768;78.38;18.78;0
164;2.562;74.39;19.23;0
165;2.609;66.98;20.12;0
166;2.375;59.99;20.14;0
167;2.198;48.8;19.86;0
168;2.182;35.9;19.14;0
169;2.22;24.44;19.53;0
170;2.31;9.3;19.74;0
171;2.254;9.1;19.08;0
172;2.2;4.16;19.55;0
173;2.354;5.58;19.26;0
174;2.372;9.92;19.2;0
175;2.317;9.02;19.83;0
176;2.235;16.47;19.59;0
177;2.206;27.08;21.41;0
178;2.367;29.08;23.2;27.0647
179;2.709;35.22;23.75;12.6325
180;2.494;47.0;23.78;12.0259
181;2.329;47.0;23.74;9.00783
182;2.309;48.96;22.72;0.423595
183;2.281;54.91;21.92;0
184;2.102;63.49;22.46;0
185;2.353;66.11;21.5;0
186;2.494;69.19;19.44;0
187;2.337;69.91;20.31;0
188;2.417;65.62;22.96;0
189;2.428;60.98;21.06;0
190;2.379;57.41;21.16;0
191;2.227;50.02;22.42;0
192;2.17;46.29;20.91;0
193;2.076;69.04;20.83;0
194;2.124;64.38;24.2;0
195;2.072;60.28;23.17;0
196;2.078;39.41;20.55;0
197;2.061;47.34;19.58;0
198;2.138;68.99;18.74;0
199;2.257;82.71;18.77;0
200;2.294;81.72;18.68;0
201;2.333;82.6;18.67;0
202;2.425;83.0;18.82;31.5613
203;2.489;82.65;18.85;50.413
204;2.465;83.05;19.36;24.4027
205;2.513;82.92;19.23;22.9489
206;2.564;82.8;19.13;0.988057
207;2.591;82.67;18.78;0
208;2.652;83.03;18.99;0
209;2.683;82.41;19.65;0
210;2.671;81.37;19.58;0
211;2.497;81.24;19.5;0
212;2.414;81.2;19.44;0
213;2.451;82.32;19.59;0
214;2.499;85.54;19.8;0
215;2.351;83.84;20.09;0
216;2.242;80.59;19.9;0
217;2.256;76.05;20.0;0
218;2.257;79.95;20.06;0
219;2.29;78.82;20.1;0
220;2.23;80.06;19.63;0
221;2.172;83.16;19.14;0
222;2.163;84.58;19.28;0
223;2.396;89.97;19.19;0
224;2.511;92.75;19.0;0
225;2.488;99.61;19.02;0
226;2.41;97.46;18.87;36.785
227;2.444;98.22;18.86;42.7921
228;2.381;104.34;18.62;6.82328
229;2.33;109.57;18.64;52.6199
230;2.314;126.72;18.64;111.923
231;2.395;126.65;18.73;0
232;2.376;125.29;18.58;0
233;2.328;119.78;18.73;0
234;2.367;116.72;18.41;0
235;2.225;107.48;18.1;0
236;2.262;110.06;18.1;0
237;2.197;105.64;18.63;0
238;2.101;86.53;19.85;0
239;2.111;79.35;22.64;0
240;2.146;55.77;25.04;0
241;2.024;42.03;26.69;0
242;2.076;27.73;29.87;0
243;2.254;25.17;29.15;0
244;2.173;22.57;28.01;0
245;2.07;25.49;24.8;0
246;2.135;26.6;21.95;0
247;2.426;48.54;19.8;0
248;2.816;71.49;19.51;0
249;2.804;72.71;19.46;0
250;2.661;69.96;19.47;32.6414
251;2.332;68.89;19.02;159.847
252;2.212;69.29;18.38;26.194
253;2.149;68.86;17.88;24.1376
254;2.127;66.8;17.71;41.0901
255;2.159;69.52;17.48;0
256;2.239;75.91;17.52;0
257;2.144;76.84;17.48;0
258;1.786;74.08;17.76;0
259;1.588;75.08;17.89;0
260;1.612;67.99;18.41;0
261;1.625;65.16;18.44;0
262;1.677;60.01;18.55;0
263;1.567;49.91;18.73;0
264;1.4;43.32;20.08;0
265;1.436;19.88;20.29;0
266;1.398;5.55;19.93;0
267;1.358;4.69;21.23;0
268;1.247;0.1;21.31;0
269;1.35;2.73;19.31;0
270;1.323;24.94;16.91;0
271;1.747;36.01;16.44;0
272;1.831;59.98;16.3;0
273;1.749;65.18;16.18;0
274;1.619;65.03;15.97;15.6423
275;2.058;66.3;16.09;11.2311
276;2.077;66.72;15.84;11.8181
277;1.919;66.6;15.8;24.2337
278;1.943;70.85;15.77;6.3294
279;1.792;73.76;15.64;0
280;1.855;74.44;15.54;0
281;2.12;74.81;15.48;0
282;2.15;76.39;15.35;0
283;2.076;78.65;15.26;0
284;2.111;79.82;15.39;0
285;2.063;74.08;15.48;0
286;1.947;74.5;15.93;0
287;1.768;66.84;16.77;0
288;1.787;42.49;18.04;0
289;1.718;32.64;19.62;0
290;1.636;21.87;20.28;0
291;1.675;16.54;21.02;0
292;1.736;18.46;21.69;0
293;1.843;24.82;21.07;0
294;1.952;30.32;18.74;0
295;2.16;56.09;17.18;0
296;2.467;85.77;16.94;0
297;2.491;95.6;16.47;0
298;2.35;98.23;16.75;23.2744
299;2.276;92.58;17.65;9.38539
300;2.18;84.93;17.23;12.4946
301;2.209;76.53;17.29;9.35535
302;2.214;71.97;17.14;1.62309
303;2.274;75.36;17.3;0
304;2.307;81.82;16.61;0
305;2.308;85.31;16.4;0
306;2.274;96.9;16.4;0
307;2.24;96.2;16.28;0
308;2.254;91.07;16.53;0
309;2.216;84.94;17.3;0
310;2.243;76.89;17.9;0
311;2.166;76.51;18.47;0
312;2.075;68.3;20.38;0
313;1.879;49.71;21.34;0
314;1.924;44.24;21.19;0
315;1.93;45.41;22.06;0
316;1.847;42.25;22.48;0
317;1.632;41.7;22.61;0
318;1.731;41.68;20.27;0
319;1.876;45.1;19.36;0
320;2.009;53.4;19.2;0
321;2.029;53.63;18.68;0
322;2.09;56.89;17.94;50.3259
323;2.083;66.72;17.98;25.0133
324;1.863;65.56;17.13;121.425
325;1.705;65.39;16.86;19.7454
326;1.696;62.69;16.68;11.8518
327;1.721;66.96;16.44;0
328;1.682;73.97;16.7;0
329;1.849;75.91;16.91;0
330;2.122;73.63;17.5;0
331;1.996;69.51;18.2;0
332;1.869;62.71;19.06;0
333;1.909;51.53;19.99;0
334;1.958;43.68;21.19;0
335;1.818;40.05;21.91;0
336;1.888;35.32;22.79;0
337;1.968;27.4;22.49;0
338;2.24;27.23;23.81;0
339;2.404;24.28;23.55;0
340;2.574;13.0;21.84;0
341;2.701;7.98;21.37;0
342;2.743;4.85;19.52;0
343;2.688;6.05;19.32;0
344;2.779;10.09;22.22;0
345;2.88;14.03;21.91;0
346;2.779;19.07;19.65;0
347;2.677;17.83;19.12;43.1551
348;2.579;11.7;18.51;10.528
349;2.474;6.93;18.39;6.36264
350;2.354;6.04;17.6;3.94003
351;2.312;6.09;18.58;0
352;2.261;19.1;18.1;0
353;2.394;27.43;17.59;0
354;2.354;30.9;18.6;0
355;2.451;27.61;21.55;0
356;2.294;25.9;23.91;0
357;2.171;12.47;24.99;0
358;2.17;20.79;28.39;0
359;2.087;31.04;27.23;0
360;2.0;32.38;28.86;0
361;1.954;35.35;29.99;0
362;1.927;36.13;31.53;0
363;1.931;36.13;30.68;0
364;1.987;38.57;27.11;0
365;2.039;41.81;24.31;0
366;2.097;45.59;17.55;0
367;2.362;66.81;16.36;0
368;2.503;86.63;16.1;0
369;2.445;89.34;15.9;0
370;2.395;90.96;16.05;39.855
371;2.506;98.73;16.01;8.33718
372;2.35;99.38;16.02;12.4715
373;2.16;90.0;15.93;9.31866
374;2.217;91.55;15.58;2.21575
375;2.206;89.4;15.43;0
376;2.267;89.89;15.54;0
377;2.23;89.46;15.67;0
378;2.195;88.39;15.96;0
379;2.201;87.38;16.18;0
380;2.05;80.04;16.48;0
381;2.018;65.91;16.69;0
382;2.095;59.69;16.87;0
383;2.033;51.24;19.9;0
384;2.082;46.52;19.97;0
385;2.012;47.13;21.28;0
386;1.98;42.94;19.53;0
387;2.006;42.15;18.28;0
388;1.897;40.8;18.76;0
389;1.581;41.62;18.66;0
390;1.56;45.75;16.77;0
391;2.16;60.17;16.16;0
392;2.306;70.87;16.07;0
393;2.254;73.37;15.91;0
394;2.059;72.62;15.74;6.06
395;2.23;73.95;15.86;181.922
396;2.283;75.27;16.17;112.734
397;2.395;75.45;16.52;31.7448
398;2.365;75.11;16.93;2.81338
399;2.398;72.21;17.0;0
400;2.35;75.57;17.08;0
401;2.08;76.03;16.85;0
402;1.747;76.56;17.2;0
