Hours;Load;Price;CO_2_eq;solar_pv
193;1.342;69.04;20.57;0
194;1.365;64.38;29.21;0
195;1.38;60.28;26.17;0
196;1.501;39.41;17.15;0
197;1.534;47.34;17.02;0
198;1.422;68.99;16.68;0
199;1.492;82.71;16.72;0
200;1.466;81.72;16.82;0
201;1.393;82.6;16.88;0
202;1.446;83.0;17.27;31.5613
203;1.389;82.65;16.03;50.413
204;1.389;83.05;16.1;24.4027
205;1.49;82.92;16.47;22.9489
206;1.55;82.8;16.56;0.988057
207;1.44;82.67;16.39;0
208;1.448;83.03;16.35;0
209;1.455;82.41;16.82;0
210;1.43;81.37;16.98;0
211;1.488;81.24;16.93;0
212;1.504;81.2;17.0;0
213;1.453;82.32;16.96;0
214;1.463;85.54;17.19;0
215;1.527;83.84;17.08;0
216;1.472;80.59;17.77;0
217;1.503;76.05;18.07;0
218;1.414;79.95;18.51;0
219;1.37;78.82;18.34;0
220;1.453;80.06;18.1;0
221;1.495;83.16;17.14;0
222;1.428;84.58;16.86;0
223;1.456;89.97;16.73;0
224;1.445;92.75;16.4;0
225;1.477;99.61;16.53;0
226;1.407;97.46;16.47;36.785
227;1.476;98.22;16.07;42.7921
228;1.401;104.34;15.59;6.82328
229;1.451;109.57;16.06;52.6199
230;1.421;126.72;16.15;111.923
231;1.429;126.65;16.29;0
232;1.455;125.29;16.13;0
233;1.486;119.78;16.24;0
234;1.426;116.72;15.92;0
235;1.369;107.48;15.77;0
236;1.37;110.06;15.5;0
237;1.455;105.64;16.09;0
238;1.378;86.53;16.5;0
239;1.329;79.35;19.59;0
240;1.158;55.77;20.03;0
241;1.258;42.03;20.8;0
242;1.251;27.73;23.26;0
243;1.295;25.17;23.38;0
244;1.273;22.57;22.72;0
245;1.265;25.49;19.93;0
246;1.294;26.6;17.62;0
247;1.333;48.54;16.53;0
248;1.264;71.49;16.83;0
249;1.442;72.71;17.12;0
250;1.473;69.96;17.1;32.6414
251;1.525;68.89;17.08;159.847
252;1.503;69.29;15.96;26.194
253;1.586;68.86;15.37;24.1376
254;1.545;66.8;14.55;41.0901
255;1.245;69.52;14.24;0
256;1.107;75.91;14.5;0
257;1.181;76.84;13.76;0
258;1.414;74.08;13.77;0
259;1.605;75.08;13.95;0
260;1.392;67.99;14.26;0
261;1.507;65.16;14.51;0
262;1.373;60.01;14.84;0
263;1.122;49.91;15.0;0
264;1.034;43.32;14.76;0
265;1.364;19.88;18.0;0
266;1.37;5.55;14.62;0
267;1.217;4.69;15.39;0
268;1.014;0.1;15.85;0
269;1.138;2.73;14.04;0
270;1.218;24.94;13.39;0
271;1.294;36.01;14.19;0
272;1.406;59.98;13.96;0
273;1.553;65.18;13.64;0
274;1.355;65.03;13.12;15.6423
275;1.255;66.3;13.28;11.2311
276;1.296;66.72;13.08;11.8181
277;1.354;66.6;13.03;24.2337
278;1.469;70.85;13.02;6.3294
279;1.397;73.76;13.0;0
280;1.329;74.44;12.95;0
281;1.259;74.81;12.9;0
282;1.251;76.39;12.89;0
283;1.258;78.65;12.89;0
284;1.255;79.82;12.92;0
285;1.202;74.08;12.93;0
286;1.239;74.5;13.26;0
287;1.336;66.84;14.09;0
288;1.282;42.49;14.03;0
289;1.358;32.64;14.7;0
290;1.365;21.87;14.84;0
291;1.351;16.54;14.89;0
292;1.354;18.46;15.03;0
293;1.407;24.82;14.75;0
294;1.407;30.32;16.89;0
295;1.594;56.09;14.85;0
296;1.424;85.77;14.37;0
297;1.274;95.6;14.04;0
298;1.26;98.23;14.08;23.2744
299;1.436;92.58;14.4;9.38539
300;1.485;84.93;14.89;12.4946
301;1.475;76.53;15.0;9.35535
302;1.452;71.97;15.18;1.62309
303;1.5;75.36;15.53;0
304;1.491;81.82;15.76;0
305;1.625;85.31;16.02;0
306;1.647;96.9;16.18;0
307;1.605;96.2;15.97;0
308;1.535;91.07;16.1;0
309;1.522;84.94;17.11;0
310;1.375;76.89;17.13;0
311;1.51;76.51;17.27;0
312;1.334;68.3;16.92;0
313;1.287;49.71;17.16;0
314;1.306;44.24;16.84;0
315;1.435;45.41;17.9;0
316;1.458;42.25;17.85;0
317;1.375;41.7;17.66;0
318;1.314;41.68;17.26;0
319;1.325;45.1;16.12;0
320;1.435;53.4;17.74;0
321;1.55;53.63;17.74;0
322;1.603;56.89;16.38;50.3259
323;1.591;66.72;16.86;25.0133
324;1.379;65.56;15.19;121.425
325;1.302;65.39;14.81;19.7454
326;1.249;62.69;14.67;11.8518
327;1.155;66.96;14.23;0
328;1.162;73.97;15.3;0
329;1.39;75.91;15.37;0
330;1.378;73.63;15.87;0
331;1.253;69.51;16.31;0
332;1.306;62.71;16.2;0
333;1.488;51.53;16.79;0
334;1.483;43.68;17.87;0
335;1.569;40.05;19.07;0
336;1.454;35.32;17.36;0
337;1.345;27.4;17.39;0
338;1.29;27.23;15.33;0
339;1.257;24.28;16.34;0
340;1.208;13.0;16.0;0
341;1.227;7.98;16.4;0
342;1.281;4.85;16.04;0
343;1.459;6.05;26.91;0
344;1.631;10.09;39.13;0
345;1.696;14.03;34.77;0
346;1.708;19.07;26.55;0
347;1.796;17.83;24.37;43.1551
348;1.797;11.7;19.58;10.528
